$XWYD2,1,20170704,075621.0,115.87,0.73,0.51,63.004,37.408,-15.188,11.1,6080.361,1627.219
$XWYD2,1,20170704,075621.20,115.89,0.70,0.56,63.557,37.138,-15.188,11.0,6080.976,1627.219
$XWYD2,1,20170704,075621.39,115.68,0.61,0.51,64.106,36.864,-15.185,11.2,6081.590,1627.219
$XWYD2,1,20170704,075621.60,115.75,0.44,0.51,64.662,36.589,-15.178,11.1,6082.210,1627.219
$XWYD2,1,20170704,075621.79,115.90,0.26,0.56,65.217,36.320,-15.165,11.2,6082.827,1627.219
$XWYD2,1,20170704,075622.0,115.47,0.14,0.60,65.773,36.047,-15.157,11.1,6083.446,1627.219
$XWYD2,1,20170704,075622.20,115.82,0.04,0.67,66.323,35.774,-15.149,11.1,6084.060,1627.219
$XWYD2,1,20170704,075622.39,115.49,-0.14,0.77,66.878,35.503,-15.146,11.0,6084.678,1627.219
$XWYD2,1,20170704,075622.60,115.41,-0.36,0.91,67.432,35.228,-15.134,11.3,6085.296,1627.219
$XWYD2,1,20170704,075622.79,115.54,-0.35,1.03,67.995,34.956,-15.148,11.2,6085.921,1627.219
$XWYD2,1,20170704,075623.0,114.98,-0.36,1.01,68.556,34.682,-15.135,11.2,6086.545,1627.219
$XWYD2,1,20170704,075623.20,114.69,-0.15,0.88,69.114,34.408,-15.131,11.2,6087.167,1627.219
$XWYD2,1,20170704,075623.39,114.82,0.00,0.90,69.675,34.138,-15.131,11.3,6087.789,1627.219
$XWYD2,1,20170704,075623.60,114.98,-0.04,0.95,70.238,33.878,-15.135,11.3,6088.409,1627.219
$XWYD2,1,20170704,075623.79,114.92,-0.09,0.88,70.799,33.609,-15.157,11.3,6089.031,1627.219
$XWYD2,1,20170704,075624.0,115.08,-0.11,0.85,71.362,33.338,-15.145,11.2,6089.656,1627.219
$XWYD2,1,20170704,075624.20,115.02,-0.12,0.89,71.917,33.083,-15.150,10.9,6090.267,1627.219
$XWYD2,1,20170704,075624.39,114.88,0.01,0.84,72.465,32.819,-15.142,10.8,6090.875,1627.219
$XWYD2,1,20170704,075624.60,114.71,0.05,0.81,73.013,32.563,-15.135,10.9,6091.480,1627.219
$XWYD2,1,20170704,075624.79,114.63,0.14,0.84,73.560,32.305,-15.142,11.1,6092.085,1627.219
$XWYD2,1,20170704,075625.20,114.81,0.13,0.79,74.660,31.784,-15.131,11.1,6093.302,1627.219
$XWYD2,1,20170704,075625.20,114.81,0.13,0.79,74.660,31.784,-15.131,11.1,6093.302,1627.219
$XWYD2,1,20170704,075625.39,114.96,0.15,0.79,75.219,31.519,-15.124,11.1,6093.920,1627.219
$XWYD2,1,20170704,075625.60,114.98,0.12,0.80,75.776,31.257,-15.134,11.2,6094.536,1627.219
$XWYD2,1,20170704,075625.79,114.96,0.08,0.81,76.336,30.990,-15.135,11.2,6095.156,1627.219
